"NR","NR collegato","Relazione","Sala mostra","Didascalia","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"V2 - 2","","","1"," Nicolaes Berchem
 Allegoria dell’America
 Allegory of America
 seconda metà sec. XVII - second half 17th century 
 New York, The Metropolitan Museum of Art.","","Opera d'arte","Disegno","Video","America; allegoria; religione","Allegoria dell’America @ita","Allegoria dell’America","Allegory of America","1620–1683","","Berchem, Nicolaes (ULAN:500010297)","","Berchem, Nicolaes (ULAN:500010297)","","","","","","","","","","The Metropolitan Museum of Art","New York","59.208.90","https://www.metmuseum.org/art/collection/search/335063","https://collectionapi.metmuseum.org/api/collection/v1/iiif/335063/748131/main-image","This drawing served as a model for an engraved title page in the second volume of an atlas on the Americas, Joan Blaeu’s Atlas Maior (Amsterdam, 1662). 
Berchem, a prolific draftsman and painter who specialized in landscapes, reconfigured the New World allegory for a Dutch context by including a detailed setting alluding to trade and religion. 
At the indigenous woman’s feet, another native pours out gold. A salamander and gold bars suggest the exoticism and riches associated with the Americas. 
Background scenes show the metal being mined, carried, and transported on a European vessel. Up in the clouds, European allegories convert natives to Christianity and battle the devil."
"V2 - 3","","","1"," Giambattista Tiepolo 
 America. Dettaglio dell’Allegoria dei Pianeti e dei Continenti 
 America. Detail of Allegory of the Planets and Continents
 1751-1753
 Residenza di Würzburg (Germania). Foto Scala, Firenze","","Dipinto","Affresco","Video","America; Africa; Asia; Europa","America. Dettaglio dell’Allegoria dei Pianeti e dei Continenti @ita","America. Dettaglio dell’Allegoria dei Pianeti e dei Continenti","America. Detail of Allegory of the Planets and Continents","1751-1753","","Tiepolo, Giovanni Domenico (ULAN:500025154)","","Tiepolo, Giovanni Domenico (ULAN:500025154)","","","","","","","","","","residenza del principe-vescovo Von Greiffenclau","Würzburg","","https://www.arteopereartisti.it/allegoria-dei-pianeti-e-dei-continenti/","https://www.arteopereartisti.it/wp-content/uploads/2018/12/adpedc-00.jpg",""
"V2 - 4","","","1"," John Stafford
 America (Serie: I Quattro Continenti)
 America (Series: The Four Continents)
 1630
 Londra, The British Museum. © The Trustees of the British Museum.","","Stampa","Incisione","Video","America; allegoria","America (Serie: I Quattro Continenti) @ita","America (Serie: I Quattro Continenti)","America (Series: The Four Continents)","1630","","Stafford, John","","","","Stafford, John","","","","Serie di stampe","I Quattro Continenti","","","British Museum","Londra","18,700,514.12","https://www.britishmuseum.org/collection/object/P_1870-0514-1179","https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_16/dc94bf2e_72df_46ef_852e_a3b9010a529d/mid_00206110_001.jpg",""
"V2 - 5","","","1","Ferdinand van Kessel
 America
 1691
 Vienna, Kunsthistorisches Museum. © KHM-Museumsverband","","Dipinto","Olio su tela","Video","America; allegoria","America @ita","America","America","1691","","Kessel, Ferdinand van (ULAN:500030696)","","Kessel, Ferdinand van (ULAN:500030696)","","","","","","Serie di dipinti","","","","Kunsthistorisches Museum","Vienna","Gemäldegalerie, 2800","https://www.khm.at/en/objectdb/detail/1024/?offset=4&lv=list","https://upload.wikimedia.org/wikipedia/commons/d/df/Ferdinand_van_Kessel_-_America.jpg?20161014105016",""
"V2 - 6","","","1"," Adriaen Collaert (da Maerten de Vos), America (Serie: I Quattro Continenti)
 America (Series: The Four Continents)
 1586-1591 
 Amsterdam, Rijksmuseum","","Stampa","Incisione","Video","America; allegoria","America (Serie: I Quattro Continenti) @ita","America (Serie: I Quattro Continenti)","America (Series: The Four Continents)","1586-1591","","","","Vos, Marten de (ULAN:500029816)","Collaert, Adriaen (ULAN:500021205)","","","","","Serie di stampe","I Quattro Continenti","","","Rijksmuseum","Amsterdam","RP-P-BI-6060","https://www.rijksmuseum.nl/en/collection/RP-P-BI-6060","https://upload.wikimedia.org/wikipedia/commons/d/d3/Marten_de_Vos_Adriaen_Collaert_America.jpg",""
"V2 - 7","","","1","Luca Giordano
 Allegoria dell’America
 Allegory of America
 1702-1705
 Reggia di Caserta 
 Su concessione del Ministero della Cultura","","Dipinto","Olio su tela","Video","America; allegoria","Allegoria dell’America @ita","Allegoria dell’America","Allegory of America","1702-1705","","Giordano, Luca (ULAN:500115457)","","Giordano, Luca (ULAN:500115457)","","","","","","Serie di dipinti","","","","Reggia di Caserta","Caserta","iccd OA: 15-00051805","http://www.culturaitalia.it/opencms/viewItem.jsp?language=it&id=oai%3Aculturaitalia.it%3Amuseiditalia-work_35760;
http://catalogo.fondazionezeri.unibo.it/scheda/opera/56165/Giordano%20Luca%2C%20Allegoria%20dell%27America","http://catalogo.fondazionezeri.unibo.it/foto/120000/110800/110681.jpg",""
"V2 - 8","","","1","Julius Goltzius (da Maerten de Vos), America
 1575-1610 
 Amsterdam, Rijksmuseum","","Stampa","Incisione","Video","America; allegoria; armadillo; unicorno; nativi","America @ita","America","America","1575-1610","","","","Vos, Marten de (ULAN:500029816)","Goltzius, Julius (ULAN:500041780)","Vrientius, Johannes Baptista (ULAN:500070608) ","","","","","","","","Rijksmuseum","Amsterdam","RP-P-1978-155","https://www.rijksmuseum.nl/en/collection/RP-P-1978-155","",""
"V2 - 9","","","1","Jan Caspar Philips
 Allegoria dell’America
 Allegory of America
 1766
 Amsterdam, Rijksmuseum","","Stampa","Incisione","Video","America; allegoria","Allegoria dell’America @ita","Allegoria dell’America","Allegory of America","1766","","","","Philips, Jan Caspar (ULAN:500008748)","Philips, Jan Caspar (ULAN:500008748)","224266330 (VIAF:224266330)","","","","","","","","Rijksmuseum","Amsterdam","RP-P-1964-3541","https://www.rijksmuseum.nl/nl/collectie/RP-P-1964-3541","",""
"V2 - 10","","","1"," Jacopo Zucchi
 La pesca del corallo (o Il Regno di Anfitrite) 
 Coral fishing (or The Realm of Amphitrite)
 1580 ca. 
 Roma, Galleria Borghese
 Foto Scala, Firenze","","Dipinto","Olio su tela","Video","America; allegoria","La pesca del corallo (o Il Regno di Anfitrite) @ita","La pesca del corallo (o Il Regno di Anfitrite)","Coral fishing (or The Realm of Amphitrite)","1580","","Zucchi, Jacopo (ULAN:500028596)","","Zucchi, Jacopo (ULAN:500028596)","","","","","de' Medici, Ferdinando (ULAN:500339079)","","","","","Galleria Borghese","Roma","inv. 292","https://www.collezionegalleriaborghese.it/opere/la-pesca-del-corallo-o-il-regno-di-anfitrite","https://www.collezionegalleriaborghese.it/uploads/server/files/medium/292.jpg","Il dipinto, probabilmente legato all'allora recente scoperta dell'America, raffigura alcune donne, intente nella raccolta dei coralli, le cui fattezze, 
secondo Baglione, rappresentano le donne più belle di Roma ritratte da Zucchi per il ricco e potente principe fiorentino. Come per l'Allegoria del creato (inv. 293), anche questo rame è stato datato dalla critica al 1585."
"12","","","1","Panthera onca (Linnaeus, 1758) 
 Esemplare tassidermizzato di giaguaro
 Taxidermized specimen of jaguar
 sec. XXI 21st century
 Pisa, preparatore Naturaliter","","Specimen","Tassidermia","Specimen","giaguaro","","Panthera onca (Linnaeus, 1758)","Jaguar (Linnaeus, 1758)","1758","Linné, Carl von (VIAF:34594730)","","","","","","Pisa","Naturaliter","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","https://it.wikipedia.org/wiki/Panthera_onca","",""
