"NR","NR collegato","Relazione","Sala mostra","Didascalia","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"PTb","","","3","Parete con matrici xilografiche (111 matrici tot)","111.0","Xilografia","Incisione","Xilografia","","","Parete con matrici xilografiche","Wall with xilographic matrices","","","","","","","","","","","","","","","","","","","",""
"PTb - 1","PTb","parte di","3","Matrice Xilografica Fiore","","Xilografia","Incisione","Xilografia","fiore","","Matrice xilografica fiore","Xilographic matrix of a flower","","","","","","","","","","","","","","","","","","","",""
"PTb - 2","PTb","parte di","3","Matrice Xilografica Pianta","","Xilografia","Incisione","Xilografia","pianta","","Matrice xilografica pianta","Xilographic matrix of a plant","","","","","","","","","","","","","","","","","","","",""
"PTb - 3","PTb","parte di","3","Matrice Xilografica Serpente","","Xilografia","Incisione","Xilografia","serpente","","Matrice xilografica serpente","Xilographic matrix of a snake","","","","","","","","","","","","","","","","","","","",""
"P2","","","4","Immaginifiche rappresentazioni europee degli indigeni americani come barbari, cannibali e sacrificatori
 European immaginative representations of Native Americans as barbarians, cannibals and practicing sacrifices
 In Staden Hans, Historia Americae siue Noui orbis continens in XIII distinctis partibus,  Francoforte, De Bry Theodor, 1590 - 1634
 BUB[AM1]","","Stampa","Stampa tipografica","Video","gruppo di cannibali","Immaginifiche rappresentazioni europee degli indigeni americani come barbari, cannibali e sacrificatori @ita","Immaginifiche rappresentazioni europee degli indigeni americani come barbari, cannibali e sacrificatori","European immaginative representations of Native Americans as barbarians, cannibals and practicing sacrifices","1590 - 1634","","","","","","Bry, Théodor de (VIAF:17251054)","Francoforte","","","Volume a stampa","Historia Americae siue Noui orbis continens in XIII distinctis partibus","","","BUB","Bologna","","","",""
"49","","","4","Maschera raffigurante Yacatecuhtli, patrono dei mercanti, cultura nahua, ca. 1350-1521 d.C. 
 Mask depicting Yacatecuhtli, patron god of merchants, Nahua culture, ca. 1350-1521 A.D.
 Roma, Museo delle Civiltà","","Maschera","Mosaico","Maschera","dio; mercanti; Yacatecuhtli","","Maschera raffigurante Yacatecuhtli, patrono dei mercanti","Mask depicting Yacatecuhtli, patron god of merchants","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"50","","","4","Manico di coltello sacrificale in forma di rettile fantastico cultura nahua, ca. 1350-1521 d.C.
 Handle of sacrificial knife in the shape of a fantastical reptile, Nahua culture ca. 1350-1521 A.D.
 Roma, Museo delle Civiltà","","Manico di coltello","Mosaico","Manico di coltello","rettile","","Manico di coltello sacrificale in forma di rettile fantastico","Handle of sacrificial knife in the shape of a fantastical reptile","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"51","","","4","Manico di coltello sacrificale in forma di figura umana 
 cultura nahua, ca. 1350-1521 d.C.
 Human-shaped handle of sacrificial knife, Nahua culture ca. 1350-1521 A.D.
 Roma, Museo delle Civiltà","","Manico di coltello","Mosaico","Manico di coltello","umano","","Manico di coltello sacrificale in forma di figura umana","Human-shaped handle of sacrificial knife","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"52","","","4","Maschera 
 Mask
 In
 Ulisse Aldrovandi, Musaeum Metallicum 
 Bologna, Marco Antonio Bernia e Giovan Battista Ferroni, 1648
 BUB, A.IV.H.III.11/13","","Stampa","Stampa tipografica","Volume a stampa","maschera","Maschera @ita","Maschera","Mask","1648","","Aldrovandi, Ulisse (VIAF:100190422)","","","","Bernia, Marco Antonio (VIAF:64188928); Ferroni, Giovanni Battista (VIAF:99638925)","Bologna","","","Volume a stampa","Musaeum Metallicum","","","BUB","Bologna","A.IV.H.III.11/13","","",""
"V5","49","rappresenta","4","Indagini scientifiche non invasive condotte nell’ambito del progetto Mesoamerican Mosaics from the collection of the Museo delle Civiltà: A Multi-analytical scientific study.
 Non-invasive scientific analyses performed as part of the project Mesoamerican Mosaics from the collection of the Museo delle Civiltà: A Multi-analytical scientific study.","","Video","","Video","","Indagini scientifiche non invasive condotte nell’ambito del progetto Mesoamerican Mosaics from the collection of the Museo delle Civiltà: A Multi-analytical scientific study. @ita","Indagini scientifiche non invasive condotte nell’ambito del progetto Mesoamerican Mosaics from the collection of the Museo delle Civiltà: A Multi-analytical scientific study."," Non-invasive scientific analyses performed as part of the project Mesoamerican Mosaics from the collection of the Museo delle Civiltà: A Multi-analytical scientific study.","","","","","","","","","","","","","","","","","","","",""
"53","","","4","Pendente con testa di idolo in serpentino [AM2] cultura nahua o mixteca, ca. 1350-1521 d.C.
 Serpentine pendant in the shape of a human head, Nahua or Mixtec culture ca. 1350-1521 A.D.
 Bologna, Museo Civico Medievale","","Pendente","Scultura","Pendente","umano; testa","","Pendente con testa di idolo in serpentino","Serpentine pendant in the shape of a human head","1350-1521","Domenici, Davide (VIAF:20000053)","","","","","","","","","","","","","Museo Civico Medievale di Bologna","Bologna","","","",""
"54","","","4","Idoli 
 Cult images
 in 
 Ulisse Aldrovandi, Musaeum Metallicum
 Bologna, Marco Antonio Bernia e Giovan Battista Ferroni, 1648
 BUB, A.IV.H.III.11/13","","Stampa","Stampa tipografica","Volume a stampa","umano; testa","Idoli @ita","Idoli","Cult images","1648","","Aldrovandi, Ulisse (VIAF:100190422)","","","","Bernia, Marco Antonio (VIAF:64188928); Ferroni, Giovanni Battista (VIAF:99638925)","Bologna","","","Volume a stampa","Musaeum Metallicum","","","BUB","Bologna","A.IV.H.III.11/13","","",""
"A alto centro","","","5","Testamento di Ulisse Aldrovandi
 Ulisse Aldrovandi’s will 
 Carlo Antonio Manzolini, 6/1, prot. Testamenti 1592-1608, cc. 81v-90r. 
 Archivio di Stato di Bologna, Archivio notarile","","Tavola manoscritta","Scrittura","Tavola manoscritta","testamento","","Testamento di Ulisse Aldrovandi","Ulisse Aldrovandi’s will","1592-1608","","Manzolini, Carlo Antonio","","","","","","","Aldrovandi, Ulisse (VIAF:100190422)","","prot. Testamenti 1592-1608","","","Archivio di Stato di Bologna","Bologna","","","",""
"A alto sinistra - 1","","","5","Medaglia in piombo, Lead medal Timoteo Refati, sec. XVI - 16th century Bologna, Museo Civico Archeologico[AM1]","","Medaglia","Incisione","Medaglia","","","Medaglia in piombo","Lead medal","1500-1599","Refati, Timoteo","","","","","","","","","","","","","Museo Civico Archeologico di Bologna","Bologna","","","",""
"A alto sinistra - 2","","","5","Medaglia commemorativa delle onoranze del 1907 Commemorative medal from the 1907 celebrations","","Medaglia","Incisione","Medaglia","","","Medaglia commemorativa delle onoranze del 1907","Commemorative medal from the 1907 celebrations","1907","","","","","","","","","","","","","","","","","","",""
"A alto sinistra - 3","","","5","Calchi in gesso di medaglie coniate con Aldrovandi vivente 
Plaster casts of 16th century medals","","Calco","Incisione","Calco","Ulisse Aldrovandi","","Calchi in gesso di medaglie coniate con Aldrovandi vivente","Plaster casts of 16th century medals","1500-1599","","","","","","","","","","","","","","","","","","",""
"A basso","A alto sinistra - 3","rappresenta","5","Materiali commemorativi delle Celebrazioni Aldrovandiane del 1907
 Commemorative materials from the 1907 Aldrovandi Celebrations","","","","","","","Materiali commemorativi delle Celebrazioni Aldrovandiane del 1907","Commemorative materials from the 1907 Aldrovandi Celebrations","","","","","","","","","","","","","","","","","","","",""
"B alto destra - 1","","","5","Mammuthus sp.","","Specimen","","Specimen","mammut","","Mammuthus sp.","Species within the genus Mammuthus","","","","","","","","","","","","","","","","","","","",""
"B alto destra - 2","","","5","Mammuthus sp.","","Specimen","","Specimen","mammut","","Mammuthus sp.","Species within the genus Mammuthus","","","","","","","","","","","","","","","","","","","",""
"B alto destra - 3","","","5","Hippopotamus amphibius (Linnaeus, 1758)","","Specimen","","Specimen","ippopotamo","","Hippopotamus amphibius","Hippopotamus","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"B alto centro - 1","","","5","Harpactocarcinus punctulatus (Milne-Edwards, 1862)","","Specimen","","Specimen","granchio","","Harpactocarcinus punctulatus","Speckled crab","","Milne-Edwards, Henri (VIAF:12392989)","","","","","","","","","","","","","","","","","",""
"B alto centro - 2","","","5","Harpactocarcinus sp.","","Specimen","","Specimen","granchio","","Harpactocarcinus sp.","Species within the genus Harpactocarcinus","","","","","","","","","","","","","","","","","","","",""
"B alto centro - 3","","","5","Lophoranina aldrovandi (Ranzani, 1818) olotipo / holotype","","Specimen","","Specimen","crostaceo","","Lophoranina aldrovandi","Aldrovandi's moorhen","","Ranzani, Camillo (VIAF:13055229)","","","","","","","","","","","","","","","","","",""
"B alto sinistra - 1","","","5","Palaeoniscum freieslebeni (De Blainville, 1818), Carbonifero, Sassonia, Carbonifereous, Saxony","","Specimen","","Specimen","pesce","","Palaeoniscum freieslebeni","","","Blainville, Henri-Marie Ducrotay de (VIAF:76391064)","","","","","","","","","","","","","","","","","",""
"B alto sinistra - 2","","","5","Charcharodon megalodon (Agassiz, 1843), Miocene ","","Specimen","","Specimen","","","Charcharodon megalodon","","","Agassiz, Louis (VIAF:14832040)","","","","","","","","","","","","","","","","","",""
"B alto sinistra - 3","","","5","Coelodus sp. e Lepidotes gigas, Denti di pesci  fish teeth","","Specimen","","Specimen","dente; pesce","","Denti di pesci (Coelodus sp. e Lepidotes gigas)","Fish teeth (Species within the genus Coelodus and Lepidotes gigas)","","","","","","","","","","","","","","","","","","","",""
"B basso","","","5","Fanoni di balena
 Baleen","","Specimen","","Specimen","balena","","Fanoni di balena","Whale baleen","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto N - 1","","","5","Collana di semi mesoamericana 
Seeds necklace from central America","","Collana","Essiccatura","Collana","","","Collana di semi mesoamericana","Mesoamerican seed necklace","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto N - 2","","","5","Bambù lavorato
Hand-carved bamboo","","Artefatto","Incisione","Artefatto","","","Bambù lavorato","Hand-carved bamboo","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto N - 2 - t","Vetrina 1 alto N - 2","rappresenta","5","tavoletta con bambù","","Artefatto","","Artefatto","","","Tavoletta con bambù","Bamboo tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto N - 3","","","5","Sonaglio con semi di Thevetia peruviana 
Rattle with Thevetia peruviana seeds","","Sonaglio","Essiccatura","Sonaglio","","","Sonaglio con semi di Thevetia peruviana","Rattle with Thevetia peruviana seeds","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto N - 3 - t","Vetrina 1 alto N - 3","rappresenta","5","tavoletta con sonaglio","","Artefatto","","Artefatto","","","Tavoletta con sonaglio","Rattle tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 1","","","5","Statuetta ushabti in faïence 
Ushabti statuette in faïence 
Epoca tarda 
Late Period","","Statua","Scultura","Statua","ushabti","","Statuetta ushabti in faïence","Ushabti statuette in faïence","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 2","","","5","Lucerna fittile a volute con spalla decorata 
Clay lamp with scrolls and decorated side 
sec. I d.C. 
1st century A.C.","","Lampada","","Lampada","","","Lucerna fittile a volute con spalla decorata","Clay lamp with scrolls and decorated side","0-99","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 3","","","5","Scarabeo in stile egizio in pietra dura bianca 
Egyptian style scarab in hard white stone 
età moderna (?)
modern era (?)","","Artefatto","Intarsio","Artefatto","scarabeo","","Scarabeo in stile egizio in pietra dura bianca","Egyptian style scarab in hard white stone","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 4","","","5","Gemma in agata con capra presso albero 
Agate gem with a goat next to a tree 
metà sec. I a.C. 
mid 1st century B.C.","","Gemma","Intarsio","Gemma","capra; albero","","Gemma in agata con capra presso albero","Agate gem with a goat next to a tree","- 0-99","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 5","","","5","Gemma in agata con maschera della Commedia dell’Arte 
Agate Gem with Comedy of Art mask 
metà sec. I a.C. 
mid 1st century B.C.","","Gemma","Intarsio","Gemma","maschera","","Gemma in agata con maschera della Commedia dell’Arte","Agate Gem with Comedy of Art mask","- 0-99","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 6","","","5","Gemma in agata con Serapide in trono 
Agate Gem with Serapis enthroned 
sec. I d.C. 
1st century A.C.","","Gemma","Intarsio","Gemma","Serapide; trono","","Gemma in agata con maschera della Commedia dell’Arte","Agate Gem with Serapis enthroned","0-99","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 7","","","5","Gemma in agata con uccello 
Agate gem with a bird 
sec. I d.C. 
1st century A.C.","","Gemma","Intarsio","Gemma","uccello","","Gemma in agata con uccello","Agate gem with a bird","0-99","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 8","","","5","Gemma in agata con Mercurio e Fortuna
 Agate gem with Mercury and Fortuna
 sec. II d.C. 2nd century A.C.","","Gemma","Intarsio","Gemma","Mercurio; Fortuna","","Gemma in agata con Mercurio e Fortuna","Agate gem with Mercury and Fortuna","100-199","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 9","","","5","Gemma in pasta vitrea stratificata con figura appoggiata a un bastone
 Gem in laminated vitreous paste with a figure resting on a stick
 sec. II-III d.C. 2nd-3rd century A.C.","","Gemma","Intarsio","Gemma","umano; bastone","","Gemma in pasta vitrea stratificata con figura appoggiata a un bastone","Gem in laminated vitreous paste with a figure resting on a stick","100-299","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 10","","","5","Gemma in diaspro giallo con cinocefalo e iscrizione 
 Yellow jasper gem with a cynocephalon and inscription
 sec. III d.C. 3rd century A.C.","","Gemma","Intarsio","Gemma","cinocefalo","","Gemma in diaspro giallo con cinocefalo e iscrizione","Yellow jasper gem with a cynocephalon and inscription","200-299","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 11","","","5","Gemma in diaspro con scorpione
 Jasper gem with a scorpion
 sec. III d.C. 3rd century A.C.","","Gemma","Intarsio","Gemma","scorpione","","Gemma in diaspro con scorpione","Jasper gem with a scorpion","200-299","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 12","","","5","Gemma in diaspro nero con iscrizione araba 
Black jasper gem with Arabic inscription 
sec. VIII-XVII d.C. 
8th-17th century A.C.","","Gemma","Intarsio","Gemma","iscrizione araba","","Gemma in diaspro nero con iscrizione araba","Black jasper gem with Arabic inscription","700-1699","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 13","","","5","Sferule di avorio e calcare 
Limestone and ivory spheres","","Artefatto","","Artefatto","","","Sferule di avorio e calcare","Limestone and ivory spheres","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 14","","","5","Punta di freccia del Neolitico
 Neolitic arrow point","","Artefatto","","Artefatto","neolitico","","Punta di freccia del Neolitico","Neolitic arrow point","- 10000-2000 ","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 15","","","5","Corno lavorato 
Carved horn","","Artefatto","","Artefatto","","","Corno lavorato","Carved horn","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 alto S - 16","","","5","Ascia di giadeite 
Jade axe","","Ascia","","Ascia","","","Ascia di giadeite","Jade axe","","","","","","","","","","","","","","","","","","","",""
"Vetrina 1 basso","","","5","Carapaci di tartarughe
 Turtle shells","","Specimen","Tassidermia","Specimen","tartaruga","","Carapaci di tartarughe","Turtle shells","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 1","","","5","Calcoli 
Kidney stone","","Specimen","","Specimen","calcoli renali","","Calcoli","Kidney stone","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 1 - t1","Vetrina 2 alto N - 1","rappresenta","5","Tavoletta con calcolo","","Calco","","Calco","calcoli renali","","Tavoletta con calcolo","Kidney stone tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 1 - t2","Vetrina 2 alto N - 1","rappresenta","5","Tavoletta con calcolo","","Calco","","Calco","calcoli renali","","Tavoletta con calcolo","Kidney stone tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 2","","","5","Bezoar di gazzella
Gazzelle bezoar","","Specimen","","Specimen","gazzella","","Bezoar di gazzella","Gazzelle bezoar","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 3","","","5","Sezioni di denti di elefante 
Elephant teeth","","Specimen","","Specimen","dente; elefante","","Sezioni di denti di elefante","Elephant teeth","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto N - 3 - t","Vetrina 2 alto N - 3","rappresenta","5","Tavoletta con elefante","","Artefatto","","Artefatto","elefante","","Tavoletta con elefante","Elephant tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto S - 1","","","5","Zanne di elefante 
Elephant tusks","","Specimen","","Specimen","elefante","","Zanne di elefante","Elephant tusks","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto S - 1 - t","Vetrina 2 alto S - 1","rappresenta","5","Tavoletta con elefante","","Artefatto","","Artefatto","elefante","","Tavoletta con elefante","Elephant tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto S - 2","","","5","Corna di bovidi e cervidi
Bull and deer horns","","Specimen","","Specimen","corna; cervo; bovino","","Corna di bovidi e cervidi","Bull and deer horns","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto S - 2 - t","Vetrina 2 alto S - 2","rappresenta","5","Tavoletta con cervo","","Artefatto","","Artefatto","cervo","","Tavoletta con cervo","Deer tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 alto S - 3","","","5","Ghiandole di castoro e capra
 Beaver and goat glands","","Specimen","Tassidermia","Specimen","castoro; capra","","Ghiandole di castoro e capra","Beaver and goat glands","","","","","","","","","","","","","","","","","","","",""
"Vetrina 2 basso","","","5","Preparati zoologici: cervo, rinoceronte e antilope
 Zoological samples: deer, rhinoceros and antelope","","Specimen","Tassidermia","Specimen","cervo; rinoceronte; antilope","","Preparati zoologici: cervo, rinoceronte e antilope","Zoological samples: deer, rhinoceros and antelope","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto N - 1","","","5","Uova di Struzzo 
 Ostrich eggs ","","Specimen","","Specimen","uova; struzzo","","Uova di Struzzo","Ostrich eggs","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto N - 2","","","5","Uova mostruose di pollo e fagiano
 Chicken and pheasant monster eggs ","","Specimen","","Specimen","uova; fagiano; pollo","","Uova mostruose di pollo e fagiano","Chicken and pheasant monster eggs","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto N - 3","","","5","Graminacea subfossile 
 Grass plant","","Specimen","","Specimen","graminacee"," ","Graminacea subfossile","Subfossil grass plant","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto N - 4","","","5","Apice vegetativo di palma 
 Palm tree leaf","","Specimen","","Specimen","palma"," ","Apice vegetativo di palma","Palm tree leaf","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 1","","","5","Baccello con seme 
 Pod with seed ","","Specimen","","Specimen","seme; bacello","","Baccello con seme","Pod with seed","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 1 - t","Vetrina 3 alto S - 1","rappresenta","5","Tavoletta con baccelli","","Calco","","Calco","bacello","","Tavoletta con bacelli","Pods tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 2","","","5","Preparati vegetali 
 Botanical samples","","Specimen","","Specimen","","","Preparati vegetali","Botanical samples","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 2 - t","Vetrina 3 alto S - 2","rappresenta","5","Tavoletta con nido","","Calco","","Calco","nido","","Tavoletta con nido","Nest tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 3","","","5","Preparati vegetali 
 Botanical samples","","Specimen","","Specimen",""," ","Preparati vegetali","Botanical samples","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 4","","","5","Nidi di pendolino 
 Penduline tit nests ","","Specimen","","Specimen","nido; pendolino","","Nidi di pendolino","Penduline nests","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 alto S - 5","","","5","Nido indet. dal Brasile 
 Unknown nest from Brazil","","Specimen","","Specimen","nido; pendolino","","Nido indet. dal Brasile","Unknown nest from Brazil","","","","","","","","","","","","","","","","","","","",""
"Vetrina 3 basso","","","5","Preparati di terre e Terre sigillate
 Soil samples","","Specimen","","Specimen","terra","","Preparati di terre e Terre sigillate","Soil samples","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 1","","","5","Conoclypeus conoideus (Leske, 1778)","","Specimen","","Specimen","riccio di mare","","Conoclypeus conoideus (Leske, 1778)","Cone shell mollusk (Leske, 1778)","","Leske, Nathanael Gottfried (VIAF:5359394)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 2","","","5","Dollaro di mare 
 Sand dollar","","Specimen","","Specimen","riccio di mare","","Dollaro di mare","Sand dollar","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 3","","","5","Clypeaster marginatus (Lamark, 1816)","","Specimen","","Specimen","","","Clypeaster marginatus (Lamark, 1816)","Green sea urchin (Lamark, 1816)","","Lamarck, Jean-Baptiste-Pierre-Antoine de Monet de (VIAF:41849820)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 4","","","5","Mazettia pareti (Manzoni, 1879)","","Specimen","","Specimen","","","Mazettia pareti (Manzoni, 1879)","Mazettia pareti (Manzoni, 1879)","","Manzoni, Angelo (VIAF:89245820)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 5","","","5","Discoidea sp.","","Specimen","","Specimen","","","Discoidea sp.","Species within the superfamily Discoidea","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 6","","","5","Macropneustes sp.","","Specimen","","Specimen","","","Macropneustes sp.","Species within the genus Macropneustes","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 7","","","5","Stirechinus sp.","","Specimen","","Specimen","","","Stirechinus sp.","Species within the genus Stirechinus","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 8","","","5","Spine di echinoidi
 Echinoid spines","","Specimen","","Specimen","","","Spine di echinoidi","Echinoid spines","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 9","","","5","Echinoide indet.
 Undetermined echinoid ","","Specimen","","Specimen","","","Echinoide indet.","Undetermined echinoid","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 10","","","5","Scutellina nummularia (Agassiz, 1841)","","Specimen","","Specimen","","","Scutellina nummularia (Agassiz, 1841)","Eyelash fungus (Agassiz, 1841)","","Agassiz, Louis (VIAF:14832040)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto N - 11","","","5","Glypticus hieroglyphicus (Goldfuss, 1829)","","Specimen","","Specimen","","","Glypticus hieroglyphicus (Goldfuss, 1829)","Glypticus hieroglyphicus (Goldfuss, 1829)","","Goldfuss, Georg August (VIAF:44642581)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 1","","","5","Calcare a coralli lavorati 
 Polished coral limestone","","Specimen","","Specimen","coralli","","Calcare a coralli lavorati","Polished coral limestone","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 2","","","5","Coralli 
 Corals","","Specimen","","Specimen","coralli","","Coralli","Corals","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 3","","","5","Lumachella a Helicidi 
 Helicidi limestone","","Specimen","","Specimen","lumaca","","Lumachella a Helicidi","Helicidi limestone","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 4","","","5","Calcare a lumachella
 Lumachella limestone","","Specimen","","Specimen","lumaca","","Calcare a lumachella","Lumachella limestone","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 5","","","5","Dentalium elephantinum (Linnaeus, 1758)","","Specimen","","Specimen","","","Dentalium elephantinum (Linnaeus, 1758)","Elephant tusk shell (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 6","","","5","Glycymeris glycymeris (Linnaeus, 1758)","","Specimen","","Specimen","","","Glycymeris glycymeris (Linnaeus, 1758)","European bittersweet (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 7","","","5","Bivalvi indet.
 Undetermined bivalves","","Specimen","","Specimen","","","Bivalvi indet.","Undetermined bivalves","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 8","","","5","Lytoceras sp. ","","Specimen","","Specimen","","","Lytoceras sp.","Species within the genus Lytoceras","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 9","","","5","Megalodon sp.","","Specimen","","Specimen","","","Megalodon sp.","Species within the genus Megalodon","","","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 10","","","5","Productus geinitzianus (De Koninck, 1847)","","Specimen","","Specimen","","","Productus geinitzianus (De Koninck, 1847)","Productus geinitzianus (De Koninck, 1847)","","Koninck, Laurent Guillaume (VIAF:2561407)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 11","","","5","Stephanoceras bayleanus (Foresti, 1887)","","Specimen","","Specimen","","","Stephanoceras bayleanus (Foresti, 1887)","Bayle's Stephanoceras (Foresti, 1887)","","Foresti, Ludovico","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 12","","","5","Tellina planata (Linnaeus, 1758)","","Specimen","","Specimen","","","Tellina planata (Linnaeus, 1758)","Smooth tellin (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 alto S - 13","","","5","Glossus humanus (Linnaeus, 1758)","","Specimen","","Specimen","","","Glossus humanus (Linnaeus, 1758)","Oxheart clam (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 4 basso","","","5","Campioni di rocce levigate
 Polished rock samples","","Specimen","","Specimen","","","Campioni di rocce levigate","Polished rock samples","","","","","","","","","","","","","","","","","","","",""
"Vetrina 5 alto N","","","5","Botroidi, concrezioni arenacee la cui forma richiama oggetti, animali, o vegetali 
 The botroids are sandstone concrections, their shape reminds of objects, animals and vegetables. 
 Rio delle Meraviglie (Bologna)","","Specimen","","Specimen","botroidi","","Botroidi","Botroids","","","","","","","","","","","","","","","","","","","",""
"Vetrina 5 alto N - t","Vetrina 5 alto N","rappresenta","5","Tavoletta con botroidi","","Calco","","Calco","botroidi","","Tavoletta con botroidi","Botroids tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 5 alto S - 1","","","5","Melopoponites","","Specimen","","Specimen","botroidi","","Melopoponites","Yellow melon","","","","","","","","","","","","","","","","","","","",""
"Vetrina 5 alto S - 2","","","5","Triorchites","","Specimen","","Specimen","botroidi","","Triorchites","Triorchites","","","","","","","","","","","","","","","","","","","",""
"Vetrina 5 alto S - 2 - t","Vetrina 5 alto S - 2","rappresenta","5","Tavoletta con botroidi","","Calco","","Calco","botroidi","","Tavoletta con botroidi","Botroids tablet","","","","","","","","","","","","","","","","","","","",""
