"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"vetrina_4_alto_s_7","","","5","Bivalvi indet.\n Undetermined bivalves","","","Specimen","","Specimen","","","Bivalvi indet.","Undetermined bivalves","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_8","","","5","Lytoceras sp.","","","Specimen","","Specimen","","","Lytoceras sp.","Species within the genus Lytoceras","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_9","","","5","Megalodon sp.","","","Specimen","","Specimen","","","Megalodon sp.","Species within the genus Megalodon","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_10","","","5","Productus geinitzianus (De Koninck, 1847)","","","Specimen","","Specimen","","","Productus geinitzianus (De Koninck, 1847)","Productus geinitzianus (De Koninck, 1847)","","Laurent Guillaume Koninck (viaf:2561407)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_11","","","5","Stephanoceras bayleanus (Foresti, 1887)","","","Specimen","","Specimen","","","Stephanoceras bayleanus (Foresti, 1887)","Bayle's stephanoceras (Foresti, 1887)","","Ludovico Foresti","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_12","","","5","Tellina planata (Linnaeus, 1758)","","","Specimen","","Specimen","","","Tellina planata (Linnaeus, 1758)","Smooth tellin (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_13","","","5","Glossus humanus (Linnaeus, 1758)","","","Specimen","","Specimen","","","Glossus humanus (Linnaeus, 1758)","Oxheart clam (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_4_basso","","","5","Campioni di rocce levigate\n Polished rock samples","","","Specimen","","Specimen","","","Campioni di rocce levigate","Polished rock samples","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_alto_n","","","5","Botroidi, concrezioni arenacee la cui forma richiama oggetti, animali, o vegetali\n The botroids are sandstone concrections, their shape reminds of objects, animals and vegetables\n Rio delle Meraviglie (Bologna)","","","Specimen","","Specimen","botroidi [botryoids]","","Botroidi","Botroids","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_alto_n_t","Vetrina 5 Alto N","Rappresenta","5","Tavoletta con botroidi","","","Calco","","Calco","botroidi [botryoids]","","Tavoletta con botroidi","Botroids tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_alto_s_1","","","5","Melopoponites","","","Specimen","","Specimen","botroidi [botryoids]","","Melopoponites","Yellow melon","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_alto_s_2","","","5","Triorchites","","","Specimen","","Specimen","botroidi [botryoids]","","Triorchites","Triorchites","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_alto_s_2_t","Vetrina 5 Alto S - 2","Rappresenta","5","Tavoletta con botroidi","","","Calco","","Calco","botroidi [botryoids]","","Tavoletta con botroidi","Botroids tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_basso","","","5","Botroidi, concrezioni arenacee la cui forma richiama oggetti, animali, o vegetali\n The botroids are sandstone concrections, their shape reminds of objects, animals and vegetables\n Rio delle Meraviglie (Bologna)","","","Specimen","","Specimen","botroidi [botryoids]","","Botroidi","Botroids","","","","","","","","","","","","","","","","","","","",""
"vetrina_5_basso_t","vetrina_5_basso","Rappresenta","5","Tavoletta con botroide","","","Calco","","Calco","botroidi [botryoids]","","Tavoletta con botroide","Botroid tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_n_1","","","5","Bufo sp., Rospo\n True toad","","","Specimen","","Specimen","rospo [toad]","","Rospo (Bufo sp.)","True toad (within the genus Bufo)","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_n_1_t","Vetrina 6 Alto N - 1","Rappresenta","5","Tavoletta con bufo","","","Calco","","Calco","rospo [toad]","","Tavoletta con bufo","True toad tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_n_2","","","5","Cordylus sp., lucertola\n Girdled lizards","","","Specimen","","Specimen","lucertola [lizard]","","Lucertola (Cordylus sp.)","Girdled lizards (within the genus Cordylus)","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_n_2_t","Vetrina 6 Alto N - 2","Rappresenta","5","Tavoletta con lucertola","","","Calco","","Calco","lucertola [lizard]","","Tavoletta con lucertola","Lizard tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_s_1","","","5","Chamaeleo chamaeleon (Linnaeus, 1758), Camaleonte europeo\n European cameleon","","","Specimen","","Specimen","camaleonte [chameleon]","","Chamaeleo chamaeleon (Linnaeus, 1758)","European cameleon (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_s_2","","","5","Scincus sp., scinco, o pesce delle sabbie\n Sandfish","","","Specimen","","Specimen","pesce [fish]","","Pesce delle sabbie (Scincus sp.)","Sandfish (within the genus Scincus)","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_s_2_t","Vetrina 6 Alto S - 2","","5","Tavoletta con pesce","","","Artefatto","","Artefatto","pesce [fish]","","Tavoletta con pesce","Fish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_alto_s_3","","","5","Draco sp., drago volante\n Lined flying dragon","","","Specimen","","Specimen","drago [dragon]","","Drago volante (Draco sp.)","Lined flying dragon (within the genus Draco)","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_basso_1","","","5","Preparati zoologici, scapola di balena\n Zoological samples, whale shoulder blade","","","Specimen","","Specimen","balena [whale]","","Preparati zoologici, scapola di balena","Zoological samples, whale shoulder blade","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_basso_2","","","5","Preparati zoologici, scheletro di delfino\n Zoological samples, incomplete dolphin skeleton","","","Specimen","","Specimen","delfino [dolphin]","","Preparati zoologici, scheletro di delfino","Zoological samples, incomplete dolphin skeleton","","","","","","","","","","","","","","","","","","","",""
"vetrina_6_basso_2_t","Vetrina 6 Basso - 2","Rappresenta","5","Tavoletta con delfino","","","Artefatto","","Artefatto","delfino [dolphin]","","Tavoletta con delfino","Dolphin tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_n_1","","","5","Peristedion cataphractum (Linnaeus, 1758), Pesci forca\n Gurnards","","","Specimen","","Specimen","pesce [fish]","","Peristedion cataphractum (Linnaeus, 1758)","Gurnards (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_n_1_t","Vetrina 7 Alto N - 1","Rappresenta","5","Tavoletta con pesce forca","","","Artefatto","","Artefatto","pesce [fish]","","Tavoletta con pesce forca","Seal tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_n_2","","","5","Lactoria cornuta (Linnaeus, 1758), Pesci scatola\n Horned boxfish","","","Specimen","","Specimen","pesce [fish]","","Lactoria cornuta (Linnaeus, 1758)","Horned boxfish (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_s_1","","","5","Xiphias sp., pesci spada\n Swordfish","","","Specimen","","Specimen","pesce spada [swordfish]","","Pesci spada (Xiphias sp.)","Swordfish (within the genus Xiphias)","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_s_1_t","Vetrina 7 Alto S - 1","Rappresenta","5","Tavoletta con pesce spada","","","Artefatto","","Artefatto","pesce spada [swordfish]","","Tavoletta con pesce spada","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_s_2","","","5","Agonus cataphractus (Linnaeus, 1758), Sorcio di mare\n Hooknose","","","Specimen","","Specimen","sorcio di mare [sea mouse]","","Agonus cataphractus (Linnaeus, 1758)","Hooknose (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_s_3","","","5","Dactylopterus volitans (Linnaeus, 1758), Pesce volante\n Flying fish","","","Specimen","","Specimen","pesce volante [flying fish]","","Dactylopterus volitans (Linnaeus, 1758)","Flying fish (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_7_alto_s_3_t","Vetrina 7 Alto S - 3","Rappresenta","5","Tavoletta con pesce volante","","","Artefatto","","Artefatto","pesce volante [flying fish]","","Tavoletta con pesce volante","Flying fish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_basso","","","5","Preparati zoologici, pesci palla\n Zoological samples, puffers","","","Specimen","","Specimen","pesce palla [pufferfish]","","Preparati zoologici, pesci palla","Zoological samples, puffers","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_basso_t","Vetrina 7 Basso","Rappresenta","5","Tavoletta con pesce palla irsuto","","","Artefatto","","Artefatto","pesce palla [pufferfish]","","Tavoletta con pesce palla irsuto","Puffer tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_7_basso_t2","Vetrina 7 Basso","Rappresenta","5","Tavoletta con pesce palla liscio","","","Artefatto","","Artefatto","pesce palla [pufferfish]","","Tavoletta con pesce palla liscio","Puffer tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_n_1","","","5","Taurulus bubalis (Euphrasen, 1758), scazzone marino\n Long-spined bullhead","","","Specimen","","Specimen","scazzone marino [marine sculpin]","","Taurulus bubalis (Euphrasen, 1758)","Long-spined bullhead (Euphrasen, 1758)","","Bengt Anders Euphrasén (viaf:120776829)","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_n_2","","","5","Lophius piscatorius (Linnaeus, 1758), Rana pescatrice\n Monkfish","","","Specimen","","Specimen","rana pescatrice [anglerfish]","","Lophius piscatorius (Linnaeus, 1758)","Monkfish (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_n_3","","","5","Apparato dentale di pesce cartilagineo (Elasmobranchii)\n Dental apparatus of a cartilaginous fish (Elasmobranchii)","","","Specimen","","Specimen","pesce [fish]","","Apparato dentale di pesce cartilagineo (Elasmobronchii)","Dental apparatus of a cartilaginous fish (Elasmobranchii)","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_n_3_t","Vetrina 8 Alto N - 3","Rappresenta","5","Tavoletta con bocca vista dall'alto","","","Artefatto","","Artefatto","pesce [fish]","","Tavoletta con bocca vista dall'alto","Mouth tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_n_3_t2","Vetrina 8 Alto N - 3","Rappresenta","5","Tavoletta con bocca vista lateralmente","","","Artefatto","","Artefatto","pesce [fish]","","Tavoletta con bocca vista lateralmente","Mouth tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_1","","","5","Rhinobatos rhinobatos (Linnaeus, 1758), pesce chitarra\n Guitarfish","","","Specimen","","Specimen","pesce chitarra [guitarfish]","","Rhinobatos rhinobatos (Linnaeus, 1758)","Guitarfish (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_1_t","Vetrina 8 Alto S - 1","Rappresenta","5","Tavoletta con pesce chitarra","","","Artefatto","","Artefatto","pesce chitarra [guitarfish]","","Tavoletta con pesce chitarra","Guitarfish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_2","","","5","Lamna nasus (Bonnaterre, 1788), smeriglio\n Porbeagle","","","Specimen","","Specimen","smeriglio [porbeagle]","","Lamna nasus (Bonnaterre, 1788)","Porbeagle (Bonnaterre, 1788)","","Pierre-Joseph Bonnaterre (viaf:56729257)","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_2_t","Vetrina 8 Alto S - 2","Rappresenta","5","Tavoletta con smeriglio","","","Artefatto","","Artefatto","smeriglio [porbeagle]","","Tavoletta con smeriglio","Mackerel tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_3","","","5","Lophius piscatorius (Linnaeus, 1758), rana pescatrice\n Monkfish","","","Specimen","","Specimen","rana pescatrice [anglerfish]","","Lophius piscatorius (Linnaeus, 1758)","Monkfish (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_8_alto_s_3_t","Vetrina 8 Alto S - 3","Rappresenta","5","Tavoletta con rana pescatrice","","","Artefatto","","Artefatto","rana pescatrice [anglerfish]","","Tavoletta con rana pescatrice","Monkfish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso","","","5","Preparati zoologici, pescecane\n Zoological samples, shark","","","Specimen","","Specimen","pesce cane [dogfish]","","Preparati zoologici, pescecane","Zoological samples, shark","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso_2","","","5","Preparati zoologici, pesce sega\n Zoological samples, swordfish","","","Specimen","","Specimen","pesce sega [sawfish]","","Preparati zoologici, pesce sega","Zoological samples, swordfish","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso_2_t1","Vetrina 8 Basso - 2","Rappresenta","5","Tavoletta con denti di pesce sega","","","Artefatto","","Artefatto","pesce sega [sawfish]","","Tavoletta con pesce sega","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso_2_t2","Vetrina 8 Basso - 2","Rappresenta","5","Tavoletta con pesce sega","","","Artefatto","","Artefatto","pesce sega [sawfish]","","Tavoletta con pesce sega","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso_2_t3","Vetrina 8 Basso - 2","Rappresenta","5","Tavoletta con pesce martello","","","Artefatto","","Artefatto","squalo martello [hammerhead shark]","","Tavoletta con squalo martello","Hammerhead shark tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_8_basso_3","","","5","Preparati zoologici, squalo martello\n Zoological samples, hammerhead shark","","","Specimen","","Specimen","squalo martello [hammerhead shark]","","Preparati zoologici, squalo martello","Zoological samples, hammerhead shark","","","","","","","","","","","","","","","","","","","",""
"s_n","","","5","Busto di Ulisse Aldrovandi\n Bust of Ulisse Aldrovandi\n Anonimo / Anonymous, 1881 ca.\n Marmo bianco / white marble","","","Statua","Scultura","Statua","Ulisse Aldrovandi [Ulisse Aldrovandi]","Busto di Ulisse Aldrovandi @ita","Busto di Ulisse Aldrovandi","Bust of Ulisse Aldrovandi","1881","","","","","","","","","","","","","","","","","","",""
"57","","","5","Polpo\n Octopus\n In Ippolito Salviani, Aquatilium animalium historiae, Roma, Ippolito Salviani, 1554\n BUB, A.v.tab.iii.i.i.9","","","Stampa","Stampa Tipografica","Volume A Stampa","polpo [octopus]","Polpo @ita","Polpo","Octopus","1554","","Ippolito Salviani (viaf:5271279)","","","","Ippolito Salviani (viaf:5271279)","Roma","","","Volume A Stampa","Aquatilium animalium historiae","","","Biblioteca Universitaria di Bologna","Bologna","A.v.tab.iii.i.i.9","","",""
"62","","","5","Isole della Grecia\n Greek islands\n In Benedetto Bordon, Isolario\n Venezia, Federico Torresano, 1547\n BUB, A.iv.p.i.14/2bis","","","Stampa","Stampa Tipografica","Volume A Stampa","Grecia [Greece]; isole [islands]","Isole della Grecia @ita","Isole della Grecia","Greek islands","1547","","Benedetto Bordon (viaf:67854568)","","","","Federico Torresano (viaf:29921615)","Venezia","","","Volume A Stampa","Isolario","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.p.i.14/2bis","","",""
"63","","","5","Gufo\n Owl\n In Pierre Belon, Aquatilium animalium historiae, Parigi, Gilles Corrozet e Benoit Prevost, 1555\n BUB, A.iv.h.i.57","","","Stampa","Stampa Tipografica","Volume A Stampa","gufo [owl]","Gufo @ita","Gufo","Owl","1555","","Pierre Belon (viaf:12291805)","","","","Gilles Corrozet (viaf:39386621) ; Benoît Prévost (viaf:49333645)","Parigi","","","Volume A Stampa","Aquatilium animalium historiae","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.i.57","","",""
"64","","","5","Polifemo\n Polyphemus\n In Ovidius Naso Publius, Metamorphoseos libri XV, Venezia, Giovanni Tacuino, 1536\n BUB, A.v.r.vi.1/1","","","Stampa","Stampa Tipografica","Volume A Stampa","Polifemo [Polyphemus]","Polifemo @ita","Polifemo","Polyphemus","1536","","Publius Ovidius Naso (viaf:88342447)","","","","Giovanni Tacuino (viaf:100177277)","Venezia","","","Volume A Stampa","Metamorphoseos libri XV","13","","Biblioteca Universitaria di Bologna","Bologna","A.v.r.vi.1/1","","",""
"66","","","5","Vipera\n Viper\n In Baldo Angelo Abati, De admirabili viperae natura, Urbino, Bartolomeo Ragusi, 1589\n BUB, A.iv.d.ix.13","","","Stampa","Stampa Tipografica","Volume A Stampa","vipera [viper]","Vipera @ita","Vipera","Viper","1589","","Baldo Angelo Abati (viaf:189070892)","","","","Bartolomeo Ragusi (viaf:161572299)","Urbino","","","Volume A Stampa","De admirabili viperae natura","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.d.ix.13","","",""
"67","","","5","Ricostruzione del naso, metodo italiano\n Italian method for the reconstruction of the nose\n In Gaspare Tagliacozzi, De curtorum chirurgia, Venezia, Gaspare Bindoni, 1597\n BUB A.iv.e.ii.23","","","Stampa","Stampa Tipografica","Stampa","naso [nose]","Ricostruzione del naso, metodo italiano @ita","Ricostruzione del naso, metodo italiano","Italian method for the reconstruction of the nose","1597","","Gaspare Tagliacozzi (viaf:59436362)","","","","Gaspare Bindoni (viaf:99884281)","Venezia","","","Volume A Stampa","De curtorum chirurgia","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.e.ii.23","Http://aldrovandi.dfc.unibo.it/pinakesweb/ulissealdrovandi_catalogomanoscritti2.asp?pag=4&macrofamilyid=&comptypeid=&objtypeid=1","",""
"m1","","","5","Ulisse Aldrovandi\n Adnotationes variae praesertim de animalibus\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi, 21/1, Carte 12v-13r","http://hdl.handle.net/20.500.14008/80967","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Adnotationes variae praesertim de animalibus @lat","Adnotationes variae praesertim de animalibus","Various annotations, especially about animals","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume Manoscritto","Ms. Aldrovandi","21/1","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, 21/1, Carte 12v-13r","","",""
"m2","","","5","Ulisse Aldrovandi\n Vulgata proverbia (Libro dei proverbi)\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 27, Carte 24v-25r","http://hdl.handle.net/20.500.14008/81548","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Vulgata proverbia @lat","Vulgata proverbia","Vulgate proverbs","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume Manoscritto","Ms. Aldrovandi","27","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 27, Carte 24v-25r","","",""
"m3","","","5","Ulisse Aldrovandi\n Pandechion epistemonicon\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 105, Carte 263v-264r","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Pandechion epistemonicon @gre","Pandechion epistemonicon","Pandechion of knowledge","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","105","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 105, Carte 263v-264r","","",""
"m4","","","5","Ulisse Aldrovandi\n Lexicon rerum inanimatarum\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 96/5, Carte 297v-298r","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Lexicon rerum inanimatarum @lat","Lexicon rerum inanimatarum","Lexicon of inanimate things","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","96/5","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 96/5, Carte 297v-298r","","",""
"m5","","","5","Ulisse Aldrovandi\n Bibliotheca secundum nomina authorum (catalogo della biblioteca)\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 147, Carte 152v-153r[am1]","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Bibliotheca secundum nomina authorum @lat","Bibliotheca secundum nomina authorum","Library according to the names of the authors","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","147","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 147, Carte 152v-153r","","",""
"m6","","","5","Ulisse Aldrovandi\n Theatrum biblicum naturale\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 54/2, Carta 211","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Theatrum biblicum naturale @lat","Theatrum biblicum naturale","Natural biblical theater","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","54/2","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 54/2, Carta 211","","",""
"m7","","","5","Libro dei visitatori\n Visitors book\n Ulisse Aldrovandi, Catalogus virorum qui visitarunt museaum nostrum\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 110, Carta 52r","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Catalogus virorum qui visitarunt museaum nostrum @lat","Catalogus virorum qui visitarunt museaum nostrum","Catalog of the men who visited our museum","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","110","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 110, Carta 52r","","",""
"m8","","","5","Discorso naturale di Ulisse Aldrovandi\n Philosopho et medico\n In Ulisse Aldrovandi, De lucentibus et aliis\n sec. XVI - 16th century\n BUB, Ms. Aldrovandi 91, C. 503","","","Volume Manoscritto","Scrittura","Volume Manoscritto","","Discorso naturale di Ulisse Aldrovandi philosopho et medico @ita","Discorso naturale di Ulisse Aldrovandi philosopho et medico","Discourse on nature of Ulisse Aldrovandi, philosopher and medician","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","","Ms. Aldrovandi","91","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi 91, C. 503","","",""
"74a","","","6","Linum usitatissimum L.\n Modello di lino, Manifattura Brendel, Berlino\n Model of flax, Brendel Company, Berlin\n Fine sec. XIX\n Late 19th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","lino [flax]; fiore [flower]","Linum usitatissimum L. @lat","Linum usitatissimum L.","Common flax","1800-1899","Carl Von Linné (viaf:34594730)","Antica Manifattura Robert Brendel e Figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74b","","","6","Orchis morio L.\n Modello di giglio caprino, Manifattura Brendel, Berlino\n Model of green-winged orchid, Brendel Company, Berlin\n Fine sec. XIX\n Late 19th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","giglio [lily]; fiore [flower]","Orchis morio L. @lat","Orchis morio L.","Green-winged orchid","1800-1899","Carl Von Linné (viaf:34594730)","Antica Manifattura Robert Brendel e Figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74c","","","6","Butomus umbellatus L.\n Modello di giunco fiorito, Manifattura Brendel, Berlino\n Model of flowering rush, Brendel Company, Berlin\n Fine sec. XIX\n Late 19th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","giunco [rush]; fiore [flower]","Butomus umbellatus L. @lat","Butomus umbellatus L.","Flowering rush","1800-1899","Carl Von Linné (viaf:34594730)","Antica Manifattura Robert Brendel e Figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74d","","","6","Daphne mezereum L.\n Modello di fior di stecco, Manifattura Brendel, Berlino\n Model of spurge laurel, Brendel Company, Berlin\n Fine sec. XIX\n Late 19th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","fior di stecco [mezereon]; fiore [flower]","Daphne mezereum L. @lat","Daphne mezereum L.","Mezereon","1800-1899","Carl Von Linné (viaf:34594730)","Antica Manifattura Robert Brendel e Figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74e","","","6","Primula veris L.\n Modello di primula odorosa, Manifattura Brendel, Berlino\n Model of cowslip, Brendel Company, Berlin\n Fine sec. XIX\n Late 19th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","primula [primrose]; fiore [flower]","Primula veris L. @lat","Primula veris L.","Common cowslip","1800-1899","Carl Von Linné (viaf:34594730)","Antica Manifattura Robert Brendel e Figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"75","","","6","Marcello Malpighi\n Anatome plantarum\n Londra, John Martin, 1675\n Bologna, Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Fondo storico Bertoloni[am1]","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","","Anatome plantarum @lat","Anatome plantarum","The anatomy of plants","1675","","Marcello Malpighi (viaf:85044)","","","","John Martyn (viaf:161542773)","Londra","","","","","","Fondo storico Bertoloni","Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali di Bologna","Bologna","","","",""
"76","","","6","Assitra, Overo Arbore di S. Tomaso\n In Jacopo Zanoni, Istoria botanica\n Bologna, Giuseppe Longhi, 1675\n BUB, A.iv.f.vi.3","","","Stampa","Stampa Tipografica","Stampa","fiore [flower]","Assitra, overo arbore di S. Tomaso @ita","Assitra, overo arbore di S. Tomaso","Assitra, also known as St. Thomas tree","1675","","Giacomo Zanoni (viaf:100212301)","","","","Giuseppe Longhi","Bologna","","","Volume A Stampa","Istoria botanica","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.f.vi.3","","",""
"77","","","6","Panthera tigris (Linnaeus, 1758)\n Preparato a secco[am2] di scheletro di tigre\n Dried tiger skeleton\n Sec. XXI\n 21st century\n Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Specimen","tigre [tiger]; scheletro [skeleton]","","Panthera tigris (Linnaeus, 1758)","Tiger","2000-2023","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"78","","","6","Nautilio gioiellato\n In Jacopo Tosi, Testacei, cioè nicchi chiocciole e conchiglie\n Sec. XVII\n BUB, Ms. 4312, Carta 17","","","Manoscritto Miniato","","Manoscritto Miniato","nautilio [nautilus]","Nautilio gioiellato @ita","Nautilio gioiellato","Bejeweled nautilus","1600-1699","","Jacopo Tosi","","","","","","","","Volume A Stampa","Testacei, cioè nicchi chioccioe e conchiglie","","","Biblioteca Universitaria di Bologna","Bologna","Ms. 4312, Carta 17","","",""
"79","","","6","Lophophorus impejanus (Lapham, 1790)\n Esemplare tassidermizzato di lofoforo splendido\n Taxidermized specimen of Himalayan monal\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","lofoforo [lophophore]","","Lophophorus impejanus (Lapham, 1790)","Himalayan monal (Lapham, 1790)","","John Latham (viaf:69237380)","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
