"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"27b","","","2","Adonis vernalis L.\n Adonide gialla\n Pheasant’s eye\n Erbario Aldrovandi, Vol.12, Carta 192\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","adonide [adonis]","","Adonis vernalis L.","Pheasant’s eye","1500-1599","Carl Von Linné (viaf:34594730)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","12","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol.12, Carta 192","","",""
"27c","","","2","Solanum lycopersicum L.\n Pomodoro\n Tomato\n Erbario Aldrovandi, Vol.1, Carta 368\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","pomodoro [tomato]","","Solanum lycopersicum L.","Tomato","1500-1599","Carl Von Linné (viaf:34594730)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","1","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol.1, Carta 368","","",""
"27d","","","2","Antennaria dioica (L.)\n Gaertner antennaria\n Mountain everlasting\n Erbario Aldrovandi, Vol.9, Carta 141\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","antennaria [pussytoes]","","Antennaria dioica (L.)","Mountain everlasting","1500-1599","Carl Von Linné (viaf:34594730) ; Joseph Gaertner (viaf:36987534)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","9","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol.9, Carta 141","","",""
"27e","","","2","Tulipa sylvestris L.\n Tulipano dei campi\n Wild tulip\n Erbario Aldrovandi, Vol.6, Carta 195\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","tulipano [tulip]","","Tulipa sylvestris L.","Wild tulip","1500-1599","Carl Von Linné (viaf:34594730)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","6","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol.6, Carta 195","","",""
"27f","","","2","Dryas octopetala L.\n Camedrio alpino\n Mountain avens\n Erbario Aldrovandi, Vol.13, Carta 77\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","camedrio alpino [alpine germander]","","Dryas octopetala L.","Mountain avens","1500-1599","Carl Von Linné (viaf:34594730)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","13","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol.13, Carta 77","","",""
"28","","","2","Anatomia del pollo\n Anatomy of a chicken\n In Ulisse Aldrovandi, Ornithologiae hoc est de avibus historiae\n Libri XII, Vol. 2\n Bologna, Francesco de Franceschi Senese, 1603\n BUB, A.iv.h.iii.8/2","","","Stampa","Stampa Tipografica","Volume A Stampa","pollo [chicken]; anatomia [anatomy]","Anatomia del pollo @ita","Anatomia del pollo","Anatomy of a chicken","1603","","Ulisse Aldrovandi (viaf:100190422)","","","","Francesco De Franceschi (viaf:136008689)","","","","Volume A Stampa","Ornithologiae hoc est de avibus historiae libri XII","2","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.iii.8/2","","",""
"29","","","2","Pulcino dentro il guscio\n Chick in an eggshell\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di animali, Vol. 3, Carta 159","","","Tavola Manoscritta","Disegno","Tavola Manoscritta","pulcino [chick]; anatomia [anatomy]","Pulcino dentro il guscio @ita","Pulcino dentro il guscio","Chick in an eggshell","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume A Stampa","Tavole di animali","3","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di animali, Vol. 3, Carta 159","","",""
"30","","","2","Cygnus olor (Gmelin, 1789)\n Preparato tassidermizzato di cigno reale\n Taxidermized mount of a mute swan\n Preparatore Fabrizio Cancelli, 1981, Museo di Storia Naturale dell’Accademia dei Fisiocritici di Siena","","","Modello","Tassidermia","Modello","cigno [swan]; anatomia [anatomy]","","Cygnus olor (Gmelin, 1789)","Mute swan (Gmelin, 1789)","1981","Johann Friedrich Gmelin (viaf:3267149296234680670008)","","","","","","","Cancelli, Fabrizio","","","","","","Museo di Storia Naturale dell’Accademia dei Fisiocritici di Siena","Siena","","","",""
"31","","","2","Cigno sezionato\n Dissected swan\n In Ulisse Aldrovandi, Ornithologiae hoc est de avibus historiae\n Libri XII, Vol. 3\n Bologna, Francesco de Franceschi Senese, 1603\n BUB, A.iv.h.iii.8/3","","","Stampa","Stampa Tipografica","Volume A Stampa","cigno [swan]; anatomia [anatomy]","Cigno sezionato @ita","Cigno sezionato","Dissected swan","1603","","Ulisse Aldrovandi (viaf:100190422)","","","","Francesco De Franceschi (viaf:136008689)","","","","Volume A Stampa","Ornithologiae hoc est de avibus historiae libri XII","3","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.iii.8/3","","",""
"32","","","2","Essere umano ermafrodita\n Human hermaphrodite (Monstrum humanum hermaphroditicum)\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di animali, Vol. 5, Carta 86","","","Tavola Manoscritta","Disegno","Tavola Manoscritta","ermafrodita [hermaphrodite]","Essere umano ermafrodita @ita","Essere umano ermafrodita","Human hermaphrodite","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume A Stampa","Tavole di animali","5","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di animali, Vol. 5, Carta 86","","",""
