"NR","OGGETTO","SALA","STATO_CORRENTE","LINK_MOD","NOTE","ACQUISIZIONE_Istituto_responsabile_acquisizione","ACQUISIZIONE_Persone_responsabili_acquisizione","ACQUISIZIONE_Tecnica_di_acquisizione","ACQUISIZIONE_Strumentazione_di_acquisizione","ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd)","ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd)","PROCESSAMENTO_Istituto_responsabile_processamento","PROCESSAMENTO_Persone_responsabili_processamento","PROCESSAMENTO_Strumentazione_di_processamento","PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd)","PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd)","MODELLAZIONE_Istituto_responsabile_modellazione","MODELLAZIONE_Persone_responsabili_modellazione","MODELLAZIONE_Strumentazione_di_modellazione","MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd)","MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd)","OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione","OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione","OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione","OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd)","OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd)","ESPORTAZIONE_Istituto_responsabile_esportazione","ESPORTAZIONE_Persone_responsabili_esportazione","ESPORTAZIONE_Strumentazione_di_esportazione","ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd)","ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd)","METADATAZIONE_Istituto_responsabile_metadatazione","METADATAZIONE_Persone_responsabili_metadatazione","METADATAZIONE_Strumentazione_di_metadatazione","METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd)","METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd)","CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento","CARICAMENTO_SU_ATON_Persone_responsabili_caricamento","CARICAMENTO_SU_ATON_Strumentazione_di_caricamento","CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd)","CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd)","ACQUISIZIONE_Licenza","LINK","MODELLAZIONE_Licenza","OGGETTO_ESISTENTE","OTTIMIZZAZIONE_Licenza","PROCESSAMENTO_Licenza"
"699738","Archaeopterix lithographica","10","5 - Esportato","","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Nikon D750","2024-06-19","2024-06-19","UNIBO FICLIT","Francesca Fabbri","3df zephyre, Blender","2024-07-23","2024-07-23","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-23","2024-07-23","UNIBO FICLIT","Francesca Fabbri","Blender, Photoshop","2024-07-23","2024-07-23","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-23","2024-07-23","","","","","","","","","","","","","","","",""
"699693","Rudista","8","5 - Esportato","","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Nikon D750","2024-06-11","2024-06-11","UNIBO FICLIT","Francesca Fabbri","3df zephyre, Blender","2024-07-08","2024-07-08","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-09","2024-07-09","UNIBO FICLIT","Francesca Fabbri","Blender, Photoshop","2024-07-09","2024-07-09","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-09","2024-07-09","","","","","","","","","","","","","","","",""
"14","Foglie fossili:","7","","","no entità.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699739","Foglie fossili - Artocarpus","7","5 - Esportato","","","CNR ISPC","Maria Felicia Rega","Fotogrammetria","Canon EOS 6D","2024-05-31","2024-05-31","CNR ISPC","Maria Felicia Rega","3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Instant Meshes, Blender, Gimp, 3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","","","","","","","","","","","","","","","",""
"699740","Foglie fossili - Acer Trilobatum","7","5 - Esportato","","","CNR ISPC","Maria Felicia Rega","Fotogrammetria","Canon EOS 6D","2024-05-31","2024-05-31","CNR ISPC","Maria Felicia Rega","3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Instant Meshes, Blender, Gimp, 3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","","","","","","","","","","","","","","","",""
"699741","Foglie fossili - Hedera helia","7","5 - Esportato","","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Nikon D750","2024-05-31","2024-05-31","UNIBO FICLIT","Francesca Fabbri","3DF Zephyr, Cloud Compare","2024-08-05","2024-08-05","UNIBO FICLIT","Francesca Fabbri","Blender","2024-08-05","2024-08-05","UNIBO FICLIT","Francesca Fabbri","Instant Meshes, Blender, Photoshop, 3DF Zephyr","2024-08-06","2024-08-06","UNIBO FICLIT","Francesca Fabbri","Blender","2024-08-06","2024-08-06","","","","","","","","","","","","","","","",""
"699742","Foglie fossili - Jalix denticulata","7","5 - Esportato","v","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Nikon D750","2024-05-31","2024-05-31","UNIBO FICLIT","Francesca Fabbri","3df zephyre, Blender","2024-07-10","2024-07-10","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-10","2024-07-10","UNIBO FICLIT","Francesca Fabbri","Blender, Photoshop","2024-07-11","2024-07-11","UNIBO FICLIT","Francesca Fabbri","Blender","2024-07-11","2024-07-11","","","","","","","","","","","","","","","",""
"699743","Foglie fossili - Sequoia","7","5 - Esportato","v","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Nikon D750","2024-06-19","2024-06-19","UNIBO FICLIT","Francesca Fabbri","3df zephyre, Blender","2024-09-09","2024-09-09","UNIBO FICLIT","Francesca Fabbri","Blender","2024-09-09","2024-09-09","UNIBO FICLIT","Francesca Fabbri","Instant Meshes, Blender, Photoshop, 3DF Zephyr","2024-09-09","2024-09-09","UNIBO FICLIT","Francesca fabbri","Blender","2024-09-09","2024-09-09","","","","","","","","","","","","","","","",""
"15","Filliti (foglie fossili):","7","","","no entità.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699744","Fillite nel Travertino di Ascoli Piceno","7","5 - Esportato","v","","CNR ISPC","Maria Felicia Rega","Fotogrammetria","Canon EOS 6D","2024-05-31","2024-05-31","CNR ISPC","Maria Felicia Rega","3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Instant Meshes, Blender, Gimp, 3DF Zephyr","2024-07-16","2024-07-16","CNR ISPC","Maria Felicia Rega","Blender","2024-07-16","2024-07-16","","","","","","","","","","","","","","","",""
