NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
vetrina_3_alto_s_1_t,Tavoletta,,Con Bacelli,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250507-ji4d1w711,,,Unibo Ficlit,Luisa Ammirati,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-05-07,2025-05-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-05-07,2025-05-07,,2025-04-29,2025-04-29,5
vetrina_3_alto_s_2,Nidi,Non Acquisibile (vetro),Preparati Vegetali,,,,Da fare prove con Gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_3_alto_s_2_t,Tavoletta,,Tavoletta Con Nido,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231213-kpo2ids0p,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-07,2023-06-07,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-07,2023-06-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-13,2023-12-13,,2023-06-07,2023-06-07,5
vetrina_3_alto_s_3,Nidi,Non Acquisibile (vetro),Preparati Vegetali,,,,Da fare prove con Gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_3_alto_s_4,Nidi,,2 Nidi Di Pendolino,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231211-qengrl721,,Acquisito Uno Dei Due Nidi,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-12-04,2023-12-05,,Unibo Ficlit,Alice Bordignon,Blender,2023-12-05,2023-12-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender; Gimp; 3df Zephyr,2023-12-07,2023-12-11,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-12-11,2023-12-11,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-11,2023-12-11,,2023-06-07,2023-06-07,5
vetrina_3_alto_s_5,Nidi,Non Acquisibile (vetro),Nido Indet. Dal Brasile,,,,Da fare prove con Gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_3_basso,Terre Sigillate,Dicam,"Preparati Di Terre E Terre Sigillate(3 Oggetti, 2 Terre Sigillate E 1 Preparati Di Terra)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250324-05trvm621,,Acquisiti Diversi Oggetti (esportati 3 Su 3),Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-08,2024-05-10,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-05-11,2024-06-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-07-31,2024-08-08,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-08,2024-08-08,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-08-08,2024-08-08,,2023-06-05,2023-06-05,5
vetrina_4_alto_n_1,"Fossili, Echinoidi",,"Conoclypeus Conoideus (leske, 1778)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231219-bjp98v0ha,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-19,2023-12-19,,2023-06-12,2023-06-12,5
vetrina_4_alto_n_2,"Fossili, Echinoidi",,Dollaro Di Mare,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231219-dl837z993,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-19,2023-12-19,,2023-06-12,2023-06-12,5
vetrina_4_alto_n_3,"Fossili, Echinoidi",,"Clypeaster Marginatus (lamark, 1816)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231220-zbrob19i5,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-16,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-16,2023-06-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-20,2023-12-20,,2023-06-12,2023-06-12,5
vetrina_4_alto_n_4,"Fossili, Echinoidi",,"Mazettia Pareti (manzoni, 1879)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231220-0xk4ondwd,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-20,2023-12-20,,2023-06-14,2023-06-14,5
vetrina_4_alto_n_5,"Fossili, Echinoidi",,Discoidea Sp.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250324-dnpe6u2f4,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-20,2023-12-20,,2023-06-14,2023-06-14,5
vetrina_4_alto_n_6,"Fossili, Echinoidi",,Macropneustes Sp.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231220-79cz6z2yg,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-14,2023-06-14,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-14,2023-06-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-20,2023-12-20,,2023-06-14,2023-06-14,5
vetrina_4_alto_n_7,"Fossili, Echinoidi",Dicam,Stirechinus Sp.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250408-h5qdapsqh,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-19,2023-07-20,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-07-21,2023-08-02,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-06-27,2024-06-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-06-27,2024-06-27,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-06-27,2024-06-27,,2023-06-19,2023-06-19,5
vetrina_4_alto_n_8,"Fossili, Echinoidi",Dicam,Spine Di Echinoidi,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240701-286i358g3,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-19,2023-07-20,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-07-21,2023-08-02,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-06-27,2024-01-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-01-07,2024-01-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-01-07,2024-01-07,,2023-06-19,2023-06-19,5
vetrina_4_alto_n_9,"Fossili, Echinoidi",Dicam,Echinoide Indet.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250321-nxwnra5ml,,,Unibo Ficlit,Francesca Fabbri,Fotogrammetria,Sony Alpha 6100,,Unibo Ficlit,Francesca fabbri,3df Zephyr,2024-05-03,2024-05-03,,Unibo Ficlit,Francesca Fabbri,Blender,2024-05-03,2024-05-03,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Instant Meshes; Adobe Photoshop 2023; Blender,2024-09-13,2024-09-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2024-09-13,2024-09-13,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2024-09-13,2024-09-13,,2024-05-03,2024-05-03,5
vetrina_4_alto_n_10,"Fossili, Echinoidi",Dicam,"Scutellina Nummularia (agassiz, 1841)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250408-h5qdapsqh,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-19,2023-07-20,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-07-21,2023-08-02,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-01-07,2024-01-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-01-07,2024-01-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-01-07,2024-01-07,,2023-06-19,2023-06-19,5
vetrina_4_alto_n_11,"Fossili, Echinoidi",Dicam,"Glypticus Hieroglyphicus (goldfuss, 1829)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250320-v1u647s1s,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-19,2023-07-20,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-07-21,2023-08-02,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-02-07,2024-02-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-07,2024-02-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-02-07,2024-02-07,,2023-06-19,2023-06-19,5
vetrina_4_alto_s_1,"Fossili, Coralli E Molluschi",Dbc 12 O 16,Calcare A Coralli Lavorati,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250324-i8m1w004u,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-23,2023-03-27,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-23,2023-06-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-23,2024-03-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-23,2024-03-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-04-16,2024-04-16,,2023-06-14,2023-06-14,5
vetrina_4_alto_s_2,"Fossili, Coralli E Molluschi",,Coralli,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240110-pmqb6aiho,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-14,2023-06-14,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-14,2023-06-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-21,2023-06-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-21,2023-06-21,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2023-06-21,2023-06-21,,2023-06-14,2023-06-14,5
vetrina_4_alto_s_3,"Fossili, Coralli E Molluschi",,Lumachella A Helicidi,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-wbucp5vsw,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-22,2023-06-22,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-27,2023-06-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-27,2023-06-27,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-09,2023-06-09,5
vetrina_4_alto_s_4,"Fossili, Coralli E Molluschi",,Calcare A Lumachella,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-yfkon1wpy,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-12,2023-06-12,5
vetrina_4_alto_s_5,"Fossili, Coralli E Molluschi",,"Dentalium Elephantinum (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-ro35hdm5g,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-12,2023-06-12,5
vetrina_4_alto_s_6,"Fossili, Coralli E Molluschi",,"Glycymeris Glycymeris (linnaeus, 1758)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250321-yf7swh6nl,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-09,2023-06-09,5
vetrina_4_alto_s_7,"Fossili, Coralli E Molluschi",,Bivalvi Indet.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250324-e2nitwzil,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-12,2023-06-12,5
vetrina_4_alto_s_8,"Fossili, Coralli E Molluschi",,Lytoceras Sp.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-784whu9oj,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-09,2023-06-09,5
